日/月,1,2,3,4,5,6,7,8,9,10,11,12
31,0,--,0,--,23.5,--,0,27.5,--,11.5,--,0
總和,536,517.5,226,205.5,306,157,35.5,331,92.5,523.5,477.5,710.5
日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0,65,2.5,42.5,15.5,13.5,0,0,1,7.5,0
2,0,19.5,37,1,22.5,106.5,13,0,0,52.5,5.5,0
3,25,6,5,0,0.5,7.5,0,0,3,135,0,0
4,0,35.5,0.5,8,6,0,0,0,0,613.5,1,0
5,0,16.5,0,4.5,0,29,0,0,0,1,0.5,1
6,0,13.5,20.5,7,1,12,0,0,0,0,3.5,1
7,0,63,17.5,15.5,0,0.5,0,0,22,70,8.5,59.5
8,0,53.5,0,38.5,0,0,0,0.5,0,72,79.5,65
9,12.5,37,0,10,0,1.5,0,0,3,18,123.5,4
10,2,0,0.5,8.5,0,0,71.5,0,4,0.5,14.5,48
11,0,0,25.5,0,0,0,0.5,0,0,0,12,5
12,0,0,3.5,0,55.5,0,0,0.5,0,0,33.5,31
13,0,0,0,0,49.5,0,0,0,3,2,24.5,80.5
14,0,0,0,0,1,5.5,0,37,43,0,0,7.5
15,6,1,0,0,0,0,0,41,0,0,0,0
16,3,23,0,0,0,25.5,0,0,7,24,58.5,0
17,0,0,1.5,0,0,1,0,15.5,1.5,4,133.5,0.5
18,0,0,7.5,52.5,0,80,0,2.5,8,0,7,2
19,0.5,0,12,0,3.5,0,0,61.5,1,10,22,24.5
20,31.5,0,0,0,17,0,0,20.5,0,13,77.5,62
21,25,0,0,0,37.5,18.5,0,10.5,211,0,118,43
22,101.5,16.5,0,1,16.5,0,0,0,212,1,29,0.5
23,46,24.5,0,45,10.5,1.5,12.5,6,132.5,5,0,30.5
24,1,14.5,0,57,3.5,31,60,0,5.5,143,5,48.5
25,21.5,7.5,0,7,0,3.5,34,0,3,20,7.5,41
26,0.5,13,7.5,12,0,0,4.5,0,7.5,0,49.5,36
27,6,23,0,0.5,20.5,0,0,0,14.5,0,0,14.5
28,6,1.5,0,0,19,8.5,0,0,3.5,26,0,19.5
29,8.5,4.5,0.5,0,0,13,5.5,0,27.5,6.5,0,0
30,0,--,3,3.5,0,0,0,0,36.5,56.5,0,0
31,0,--,123,--,0,--,1,0,--,112.5,--,0
總和,296.5,373.5,330,274,306.5,360.5,216,195.5,749,1387,821.5,625
日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,12.5,31,0,42.5,0,0,0,10,0,0,4,12
2,21.5,46,0,0,0,0,0,38,0,0,23,7
3,5.5,116.5,1,0,0,60.5,0,0,1,0,44.5,6.5
4,0,9,62.5,0,1.5,42,0,1,0,0,123.5,0
5,0.5,0,66.5,6,1.5,9,0,38.5,0,0,36,8.5
6,0,23,93.5,10,0,0,1,0,0,0,0.5,0.5
7,0,68.5,22.5,0,50,1,42.5,0,37,0,2,0
8,6,1,9,0,0,0,8,0,0,1.5,0,7.5
9,3.5,3.5,3.5,3.5,1,1,10.5,0,0,1.5,0.5,53
10,4.5,0,0,100.5,90,0,0,1,0,0,144,1
11,14.5,0,0,0.5,89,0,1.5,1,0,0,156.5,0
12,0,27,0,62,0,31,25.5,0,3,0,119.5,8.5
13,0,51.5,21.5,13,0,7,0,6.5,0,0,101.5,83.5
14,0,9,18.5,0,0,0,0.5,0,2,0,0,0.5
15,12,0,47,0,0,0,0,0,0,0,0,0
16,2,0.5,14.5,0,0,0,3,0,0,9,17.5,0
17,0,0,0,0,1,7.5,0,0,0,3,128.5,0
18,0,23,0,0,16,0,0.5,0.5,0.5,1,119,3.5
19,9.5,13,0,32,0.5,0,8,0,0,18.5,21,0.5
20,0,26,0,11.5,0,0,7,0,0,221,0,0
21,0,71.5,0,0,0,0,25.5,0,3,43.5,1,1
22,0,24.5,0,0,0,0,0,0,3.5,49.5,0,0
23,2,102,0,37,0,0,8,0,58,57,0.5,0.5
24,0.5,28,0,14.5,126.5,0,5,0,0,69,0,0
25,0.5,0,0,67,6.5,0,78,0,0,33.5,0,82
26,47,2,0,39,17.5,0,8,0,5,45,0,15
27,28,0,0,0.5,23,0.5,4.5,0,0,40.5,0,50.5
28,0,0,26.5,35.5,16.5,0,24,0,0,68,0,22.5
29,0,--,39.5,0,115,0,27,0,0,8,0,3.5
30,0,--,114,0,0,0,0,0,0,58,1,54.5
31,4,--,107.5,--,0,--,0,0,--,6.5,--,222.5
總和,174,676.5,647.5,475,555.5,159.5,288,96.5,113,734,1044,364
