日/月,1,2,3,4,5,6,7,8,9,10,11,12
6,0,5,13,2.5,0,8,0,0,0,0,7,2.5
7,0,25.5,18,7,0,0.5,0.5,27,0.5,34.5,19.5,32.5
8,0,29.5,0,16.5,0,0,5.5,0,4,167,19.5,36.5
9,2.5,18.5,0,12.5,0,2,0,0,3.5,25,42.5,2.5
10,0.5,0,0,2,0,0,45,0,0.5,2,17.5,11
11,0,0,24,0,0,0,0,0,0,0,46,7
12,0,0,3,0,43.5,0,0,0,0,10,62,46.5
13,0,0,0,0,26.5,0,1.5,2,4.5,0,13,14.5
14,0,0,0,0.5,2.5,1.5,0,16,18.5,0,0.5,8.5
15,27.5,1,0,0,0,0,0,16.5,0,0,0,0.5
16,4,5,0,1,0,43.5,0,0,3,21,46,0
17,0,0,1,0,0,0,0,4,1,3.5,66.5,0.5
18,0,0,5,73.5,0,22.5,0,0.5,35.5,0,69.5,0.5
19,0,0,5.5,0,0,1,0,0.5,8.5,87.5,37.5,14.5
20,3.5,0,0,0.5,13,0,0,4.5,0,49.5,57.5,19.5
21,27.5,0,0,0,42.5,9,0,24.5,99,13,61.5,15
22,73,1,0,0.5,1.5,0,0,0,280.5,31,22.5,3.5
23,33,8,0,4,2,4.5,7.5,30.5,20.5,72,3,25.5
24,2,5.5,0,53.5,3,23,111,0,2,387,0.5,32
25,13.5,4,0,11.5,0,3,19.5,0,2,108,1.5,2
26,1,5.5,4.5,14.5,0.5,0,6,0,0,0,8,14
27,3,8.5,1,0,25,0,0,0,32.5,4,0,12
28,4.5,0.5,0,0.5,10.5,19.5,0,0,11,87.5,0,4
29,4,2,0,0,0.5,2,0,0,30.5,67.5,0,0
30,0,--,5,2.5,0,0,0.5,0,14.5,140,0,0
31,0,--,51.5,--,0,--,0,0,--,108.5,--,0
總和,208,140,207,221.5,216,240.5,202.5,126,572,1839,667,305
日/月,1,2,3,4,5,6,7,8,9,10,11,12
1,11,25,0,19,0,0,0,6,0,0,3,8.5
2,12,23,0,0,0,0,0,17.5,0,0,14.5,12.5
3,4,57,0.5,0,0,15,0,0,6.5,0,28,14
4,0,13.5,45,0,1.5,30,0,0,0.5,0,50.5,0
5,0,0,36,8.5,0,10.5,0,70.5,0,0,18,7
6,0,1.5,70,7.5,0,0,1.5,0,0,0,0.5,0.5
7,0,38.5,15.5,0,65,0.5,35.5,0,45.5,0,0.5,0
8,1.5,3.5,3.5,0,0,0,2,0,0,8.5,0,44.5
9,7,7,1,14,5,2,10,0,0,0,12,31
10,12.5,0,0.5,36,55.5,0,0.5,1,0,0,75,0.5
11,9.5,0,0,0,81,0,0.5,10.5,0,0.5,166,0
12,0,28.5,0,37.5,0,24.5,8.5,0,13.5,0,50.5,14
13,0,50,13,8.5,0,5.5,0,7,0,0,157,22.5
14,0,1,10.5,0,0,0,0,0,0,0,6.5,1
15,15,0.5,77.5,0,0,0,0,0,0,0,0,0
16,2,0.5,9,0,0,0,27.5,0,0,0.5,0,0
17,0,0,0,0,1,0.5,0,0,0,10.5,96,1
18,0,18.5,0,0,10,0,3,1.5,0,2,128.5,1.5
19,1,1.5,0.5,15.5,0,0,7.5,0,0,79,16.5,0
20,0,8,0,5,0,0,5.5,5.5,0,303,0.5,0
21,0,27.5,0,0,0,0,28.5,0,8.5,522.5,5.5,31
22,0,&,0,0,22,0,1.5,0,32,344,0,1
23,0.5,&,0,16.5,0,0.5,3.5,0,38,124.5,0,0
24,6.5,3,0,15,44.5,0,16.5,0,0.5,159,0,1
25,24,0.5,0,23.5,11,0,38,0,0,107.5,2.5,39
26,26.5,0,0,13,19.5,0,5,0,0.5,92,0,26
27,13.5,0,0,0.5,1.5,3,1.5,0,0,31.5,0,19.5
28,0,0,12,10,7.5,0,16.5,0,0,74,0,9
29,0,--,28,0,60,0,32.5,0,0,9.5,0,1
30,0,--,71,0,1,0,0,0,0,0.5,0.5,17.5
31,5,--,83,--,0,--,0,0,--,2.5,--,60
總和,151.5,308.5,476.5,230,386,92,245.5,119.5,145.5,1871.5,832,285
