日/月,1,2,3,4,5,6,7,8,9,10,11,12
202201,6.4 / 20,9.2 / 50,5.5 / 280,9.7 / 30,6.9 / 20,4.5 / 180,7.2 / 120,6.1 / 150,12.9 / 10,5.7 / 140,11.6 / 50,10.3 / 40
2,6.2 / 20,9.8 / 40,8.6 / 60,9.7 / 20,7.1 / 40,4.3 / 260,3.1 / 90,3.3 / 310,11.8 / 360,6.1 / 140,11.3 / 60,9.9 / 40
3,6.0 / 30,9.1 / 30,7.0 / 70,8.2 / 30,9.9 / 60,4.6 / 220,4.8 / 310,6.5 / 150,9.7 / 40,5.7 / 140,8.7 / 60,5.9 / 20
4,8.7 / 60,8.7 / 30,7.2 / 290,9.6 / 60,8.7 / 90,5.9 / 270,4.1 / 240,9.6 / 160,19.2 / 330,4.8 / 150,10.1 / 40,8.6 / 20
5,6.2 / 330,9.0 / 50,7.5 / 60,5.6 / 120,6.1 / 30,8.0 / 250,3.2 / 180,4.7 / 160,12.1 / 260,8.7 / 50,9.1 / 50,11.3 / 20
6,9.4 / 20,10.0 / 50,10.5 / 70,6.4 / 120,5.3 / 20,14.1 / 270,4.8 / 160,7.4 / 150,6.1 / 70,9.2 / 60,9.0 / 60,10.6 / 60
7,7.9 / 40,12.8 / 160,10.4 / 360,5.3 / 60,5.0 / 10,4.4 / 160,5.4 / 160,8.9 / 150,6.4 / 60,8.9 / 60,9.3 / 70,11.0 / 50
8,7.3 / 40,8.9 / 10,7.2 / 60,8.3 / 80,4.9 / 40,5.2 / 120,4.3 / 180,10.0 / 150,5.3 / 50,9.2 / 60,9.8 / 70,8.9 / 20
9,6.3 / 40,6.5 / 60,7.9 / 120,7.0 / 120,5.8 / 40,6.7 / 90,4.2 / 250,7.9 / 150,5.5 / 40,7.3 / 40,8.0 / 90,8.7 / 30
10,7.0 / 60,8.1 / 60,7.6 / 120,7.9 / 160,5.2 / 90,3.7 / 80,4.5 / 170,4.5 / 150,5.0 / 40,10.2 / 20,6.0 / 110,10.4 / 40
11,11.4 / 360,6.5 / 90,5.6 / 160,6.3 / 160,3.8 / 300,5.5 / 20,5.0 / 180,5.3 / 160,8.3 / 20,9.6 / 50,7.0 / 90,11.9 / 20
12,5.8 / 40,6.8 / 10,8.8 / 150,6.2 / 160,2.8 / 70,5.1 / 160,4.8 / 150,3.3 / 160,12.6 / 340,11.4 / 50,2.8 / 340,9.2 / 40
13,8.3 / 20,7.5 / 20,8.2 / 160,6.1 / 160,5.7 / 10,8.6 / 180,5.5 / 150,3.9 / 150,17.8 / 310,9.7 / 40,6.4 / 50,10.3 / 40
14,5.4 / 50,9.6 / 10,5.7 / 160,8.8 / 10,8.8 / 40,5.2 / 240,5.9 / 160,4.1 / 110,11.8 / 260,8.1 / 30,8.1 / 60,11.6 / 40
15,4.7 / 20,9.1 / 50,4.6 / 120,10.5 / 20,9.1 / 40,4.6 / 310,6.3 / 260,10.0 / 150,3.2 / 130,11.4 / 40,5.4 / 110,10.1 / 40
16,7.8 / 40,11.8 / 60,7.0 / 120,8.0 / 40,8.1 / 30,4.6 / 150,10.7 / 260,8.1 / 160,3.5 / 10,11.7 / 50,10.4 / 70,9.7 / 20
17,9.5 / 50,13.3 / 70,6.7 / 160,5.5 / 40,6.1 / 40,5.3 / 280,6.8 / 160,4.7 / 110,6.7 / 330,13.0 / 30,5.8 / 250,14.3 / 10
18,10.6 / 60,9.7 / 40,8.3 / 20,5.4 / 20,8.0 / 50,5.8 / 160,4.4 / 180,6.9 / 110,5.8 / 310,12.3 / 40,6.1 / 60,9.1 / 10
19,9.0 / 60,10.2 / 20,5.5 / 70,4.9 / 40,8.8 / 90,4.3 / 270,4.4 / 160,6.5 / 150,4.5 / 20,10.5 / 50,4.3 / 90,7.9 / 60
20,12.5 / 70,10.9 / 20,8.9 / 160,5.1 / 90,6.4 / 350,6.6 / 260,5.6 / 180,6.2 / 260,6.6 / 20,10.2 / 60,6.1 / 70,8.2 / 100
21,11.3 / 90,11.3 / 50,4.0 / 300,4.0 / 320,4.9 / 10,6.4 / 170,4.7 / 200,8.2 / 260,7.6 / 60,9.0 / 60,8.8 / 90,8.6 / 10
22,7.8 / 120,13.2 / 50,8.2 / 40,4.8 / 150,6.3 / 60,4.4 / 220,4.4 / 260,6.0 / 150,4.4 / 20,9.9 / 60,5.7 / 120,5.7 / 360
23,6.3 / 350,11.5 / 30,9.5 / 10,3.8 / 160,5.5 / 310,5.6 / 190,6.7 / 260,8.3 / 150,5.9 / 20,7.7 / 30,7.7 / 40,7.9 / 10
24,7.3 / 10,9.3 / 50,7.2 / 120,4.5 / 160,3.8 / 310,5.5 / 160,7.2 / 150,11.0 / 140,9.2 / 40,8.7 / 40,7.8 / 60,7.7 / 10
25,7.8 / 60,7.6 / 50,11.3 / 150,5.1 / 180,2.8 / 90,6.1 / 160,5.2 / 150,5.2 / 280,8.0 / 40,8.4 / 60,6.2 / 60,6.9 / 10
26,7.2 / 90,5.0 / 360,7.9 / 30,5.7 / 160,6.1 / 90,4.9 / 160,4.5 / 280,9.6 / 260,8.4 / 60,7.8 / 80,7.0 / 60,6.8 / 20
27,4.6 / 20,7.0 / 60,7.9 / 30,3.8 / 310,5.2 / 40,6.6 / 160,3.8 / 290,5.0 / 280,5.0 / 80,7.1 / 60,6.8 / 160,8.4 / 60
28,9.3 / 40,5.7 / 180,9.1 / 40,3.8 / 10,4.5 / 260,6.8 / 160,2.6 / 150,2.9 / 40,5.5 / 80,11.0 / 60,3.8 / 180,10.6 / 50
29,8.9 / 40,-- / --,8.0 / 120,8.0 / 40,7.3 / 180,9.8 / 160,5.5 / 320,3.7 / 70,4.6 / 110,10.8 / 50,4.4 / 190,11.2 / 50
30,10.5 / 360,-- / --,4.4 / 120,6.5 / 40,7.5 / 270,7.6 / 140,3.1 / 40,3.9 / 110,5.0 / 140,11.5 / 50,11.9 / 40,11.1 / 40
31,7.9 / 60,-- / --,8.1 / 30,-- / --,2.4 / 100,-- / --,5.4 / 300,4.6 / 20,-- / --,12.8 / 40,-- / --,12.8 / 60
平均,7.9,9.2,7.6,6.5,6.1,6,5.1,6.3,7.9,9.3,7.5,9.5
日/月,1,2,3,4,5,6,7,8,9,10,11,12
202301,11.5 / 70,4.2 / 260,8.6 / 20,4.0 / 360,6.9 / 50,12.2 / 10,6.2 / 180,6.5 / 340,7.0 / 80,7.5 / 40,7.2 / 90,9.0 / 40
2,11.1 / 40,8.5 / 40,8.3 / 40,5.0 / 40,7.6 / 110,5.9 / 310,5.0 / 160,13.4 / 340,9.2 / 70,6.8 / 40,6.1 / 150,8.1 / 50
3,11.1 / 40,7.7 / 40,6.1 / 60,6.5 / 120,10.1 / 150,5.1 / 110,5.6 / 170,22.7 / 300,12.7 / 90,7.6 / 20,4.0 / 120,8.3 / 60
4,10.2 / 60,9.3 / 60,5.7 / 20,14.5 / 160,10.2 / 160,6.3 / 110,8.6 / 260,21.1 / 270,12.8 / 90,8.5 / 30,6.7 / 150,6.4 / 60
5,6.9 / 60,7.3 / 60,5.9 / 50,6.1 / 180,9.5 / 160,7.4 / 160,12.0 / 260,18.2 / 270,8.1 / 110,12.9 / 50,8.1 / 160,6.5 / 360
6,7.1 / 30,3.2 / 320,4.8 / 90,4.8 / 90,6.5 / 170,5.8 / 180,8.6 / 260,15.1 / 280,5.2 / 80,12.5 / 70,6.9 / 50,4.9 / 50
7,7.5 / 50,5.6 / 40,5.0 / 110,9.6 / 20,6.9 / 40,4.6 / 170,6.7 / 250,13.9 / 280,5.8 / 90,6.2 / 130,7.8 / 50,6.1 / 60
8,7.6 / 110,8.2 / 60,4.3 / 150,8.3 / 50,7.0 / 30,5.5 / 180,6.8 / 160,9.3 / 280,5.4 / 90,6.8 / 40,6.2 / 120,7.0 / 160
9,6.7 / 80,5.1 / 150,4.5 / 70,4.9 / 90,5.4 / 30,3.5 / 170,5.6 / 250,7.7 / 280,2.9 / 90,8.9 / 40,6.6 / 120,3.3 / 160
10,6.3 / 80,7.4 / 50,5.6 / 110,7.2 / 150,4.6 / 60,4.8 / 180,7.0 / 150,5.3 / 270,2.4 / 40,9.3 / 50,5.9 / 40,5.6 / 150
11,4.8 / 130,4.7 / 110,4.6 / 120,6.2 / 160,5.3 / 60,2.0 / 110,7.1 / 160,2.2 / 40,2.9 / 110,8.2 / 40,8.7 / 40,4.9 / 160
12,8.4 / 160,3.6 / 210,6.8 / 20,5.7 / 40,6.3 / 160,3.3 / 140,7.1 / 160,3.2 / 180,3.8 / 120,5.9 / 40,9.0 / 40,8.8 / 40
13,8.8 / 160,6.5 / 30,8.1 / 40,7.0 / 150,3.5 / 350,2.5 / 360,7.2 / 140,4.1 / 150,3.0 / 120,4.1 / 40,8.8 / 20,7.3 / 80
14,6.1 / 290,10.1 / 20,5.7 / 90,5.3 / 180,3.1 / 80,3.6 / 40,7.3 / 150,5.8 / 260,3.7 / 140,4.2 / 30,7.1 / 60,6.2 / 150
15,10.4 / 20,9.6 / 10,4.3 / 160,6.8 / 290,7.5 / 160,3.2 / 90,7.1 / 140,11.4 / 270,4.0 / 160,4.4 / 30,8.8 / 60,5.5 / 180
16,9.0 / 20,6.8 / 70,6.9 / 40,6.0 / 160,10.6 / 150,4.3 / 110,7.3 / 110,9.1 / 270,2.8 / 260,6.3 / 60,8.9 / 10,11.4 / 20
17,7.1 / 40,3.8 / 150,5.6 / 290,7.6 / 160,10.1 / 160,3.6 / 150,4.5 / 150,4.1 / 150,3.8 / 160,7.0 / 90,6.8 / 10,9.4 / 40
18,7.8 / 20,8.6 / 160,7.0 / 40,12.5 / 160,7.7 / 270,6.7 / 180,5.0 / 150,4.3 / 150,4.1 / 120,7.6 / 90,5.6 / 20,8.9 / 70
19,7.3 / 60,9.2 / 40,6.9 / 90,8.5 / 270,5.9 / 60,8.6 / 250,4.7 / 160,3.4 / 140,5.3 / 110,6.7 / 140,4.9 / 50,9.2 / 10
20,9.8 / 50,9.2 / 30,4.6 / 330,8.5 / 330,5.3 / 50,10.1 / 260,6.5 / 160,2.7 / 180,5.4 / 150,7.6 / 20,7.1 / 70,11.0 / 20
21,9.9 / 60,10.3 / 40,3.4 / 290,5.6 / 10,5.9 / 170,9.0 / 260,7.1 / 160,3.1 / 160,4.6 / 150,8.9 / 40,6.9 / 80,10.1 / 30
22,7.4 / 300,9.6 / 50,5.0 / 240,4.8 / 40,9.7 / 30,5.8 / 280,6.7 / 150,5.0 / 160,5.9 / 70,8.3 / 80,4.5 / 90,9.0 / 20
23,7.5 / 40,8.8 / 40,6.2 / 300,5.3 / 60,5.9 / 30,3.5 / 110,5.4 / 150,4.2 / 150,4.9 / 70,7.7 / 90,3.6 / 40,10.1 / 60
24,14.0 / 360,9.1 / 20,5.3 / 40,5.8 / 20,5.9 / 150,6.6 / 160,6.7 / 110,3.6 / 150,4.2 / 70,5.1 / 90,10.3 / 40,9.6 / 30
25,7.4 / 50,10.2 / 30,7.3 / 10,5.4 / 20,3.5 / 180,8.8 / 160,7.1 / 110,3.7 / 110,4.0 / 60,4.8 / 60,10.6 / 60,6.9 / 40
26,7.5 / 340,8.2 / 40,7.4 / 20,7.8 / 60,7.6 / 150,10.2 / 160,11.6 / 110,3.7 / 110,5.0 / 40,3.9 / 90,7.1 / 40,7.2 / 90
27,11.9 / 20,8.4 / 60,8.5 / 40,5.9 / 70,6.7 / 110,9.0 / 140,13.1 / 110,3.1 / 110,4.8 / 60,4.9 / 60,4.7 / 40,3.5 / 50
28,8.3 / 360,5.9 / 110,8.6 / 60,5.4 / 160,6.3 / 110,10.4 / 160,14.5 / 140,3.5 / 150,5.3 / 70,6.2 / 70,7.5 / 90,6.1 / 20
29,5.4 / 40,-- / --,6.2 / 80,6.4 / 50,6.5 / 90,10.0 / 180,9.2 / 140,6.3 / 110,6.0 / 70,4.9 / 60,7.5 / 160,7.8 / 50
30,5.5 / 60,-- / --,7.4 / 340,6.9 / 40,7.0 / 60,6.5 / 160,4.1 / 140,8.3 / 90,5.0 / 60,4.8 / 90,9.2 / 40,3.6 / 10
31,9.9 / 160,-- / --,6.2 / 360,-- / --,8.7 / 40,-- / --,3.0 / 40,8.8 / 80,-- / --,7.4 / 60,-- / --,7.6 / 50
平均,8.4,7.5,6.2,6.8,6.9,6.3,7.2,7.6,5.3,7,7.1,7.4
日/月,1,2,3,4,5,6,7,8,9,10,11,12
202401,6.9 / 40,6.0 / 160,10.8 / 20,5.6 / 80,7.3 / 50,5.3 / 50,4.9 / 160,5.0 / 260,3.4 / 120,10.2 / 120,14.1 / 160,3.2 / 130
2,5.5 / 90,6.8 / 40,7.4 / 40,6.9 / 180,6.1 / 50,9.9 / 60,7.9 / 180,7.6 / 260,4.3 / 120,12.0 / 40,7.0 / 40,4.7 / 120
3,9.3 / 10,5.4 / 30,6.3 / 90,6.8 / 250,6.2 / 70,5.9 / 40,6.5 / 160,5.0 / 150,6.3 / 90,14.6 / 50,6.1 / 50,8.3 / 70
4,6.5 / 120,8.9 / 330,4.5 / 180,5.9 / 60,6.6 / 70,5.3 / 90,5.3 / 160,4.2 / 290,6.5 / 90,11.0 / 60,7.7 / 60,8.8 / 60
5,5.7 / 310,8.4 / 50,6.1 / 250,5.9 / 40,4.9 / 160,6.6 / 120,7.1 / 160,2.5 / 70,6.0 / 120,6.5 / 90,9.6 / 30,7.5 / 60
6,5.0 / 40,7.7 / 50,9.9 / 20,4.8 / 40,6.1 / 70,4.7 / 320,6.2 / 180,3.3 / 10,5.5 / 120,5.9 / 80,10.2 / 50,6.4 / 40
7,7.4 / 40,8.5 / 20,6.4 / 20,6.0 / 40,5.2 / 60,2.3 / 330,5.1 / 180,2.8 / 320,3.1 / 120,5.7 / 30,10.6 / 60,8.5 / 20
8,6.8 / 90,8.5 / 20,8.1 / 20,5.7 / 20,7.4 / 70,3.7 / 330,5.4 / 160,3.2 / 300,3.4 / 70,8.3 / 40,8.1 / 40,10.6 / 40
9,5.0 / 10,8.3 / 20,6.4 / 50,7.6 / 40,7.5 / 70,3.2 / 90,6.5 / 160,2.7 / 300,4.5 / 70,6.5 / 40,5.8 / 30,9.1 / 70
10,9.2 / 360,4.7 / 30,8.7 / 70,8.8 / 80,7.4 / 120,6.4 / 280,5.3 / 160,3.6 / 240,7.9 / 330,5.2 / 30,6.0 / 20,8.1 / 80
11,4.7 / 30,3.8 / 50,8.5 / 160,3.7 / 120,7.3 / 160,9.4 / 260,6.4 / 260,4.9 / 160,3.4 / 150,5.7 / 50,6.7 / 30,5.8 / 20
12,3.2 / 90,7.1 / 120,6.3 / 340,3.6 / 320,5.9 / 40,12.0 / 260,7.1 / 260,4.5 / 160,5.7 / 120,6.6 / 70,11.1 / 60,8.0 / 40
13,5.0 / 90,5.3 / 150,7.3 / 90,3.9 / 70,6.7 / 40,8.6 / 260,5.9 / 180,3.5 / 180,6.8 / 90,7.0 / 90,10.8 / 80,9.2 / 10
14,5.4 / 120,3.1 / 160,5.4 / 120,4.8 / 280,4.8 / 50,5.4 / 250,7.9 / 160,2.7 / 220,5.0 / 360,6.1 / 90,9.0 / 120,10.2 / 10
15,8.0 / 40,4.3 / 30,5.1 / 160,5.5 / 280,3.7 / 20,7.9 / 270,9.4 / 160,2.4 / 160,2.3 / 160,5.8 / 120,10.2 / 140,7.4 / 20
16,8.6 / 60,6.8 / 30,3.7 / 180,3.9 / 90,7.3 / 40,4.0 / 120,10.1 / 160,3.4 / 90,6.5 / 120,6.2 / 50,8.6 / 50,6.0 / 40
17,7.5 / 160,3.7 / 160,4.8 / 40,7.8 / 280,5.9 / 140,5.2 / 150,6.5 / 160,6.1 / 290,9.1 / 120,5.6 / 60,7.4 / 40,7.7 / 60
18,4.5 / 160,5.3 / 160,7.1 / 60,6.9 / 60,5.3 / 70,3.5 / 160,5.1 / 180,7.5 / 310,6.4 / 70,4.7 / 120,10.6 / 40,8.7 / 30
19,6.0 / 60,7.5 / 160,8.7 / 350,7.2 / 160,6.7 / 70,3.3 / 160,9.2 / 160,6.4 / 300,4.2 / 340,7.1 / 40,9.4 / 50,9.1 / 40
20,5.6 / 20,5.9 / 160,7.3 / 40,4.0 / 190,7.6 / 80,5.6 / 180,9.1 / 160,5.4 / 120,5.5 / 160,8.9 / 40,8.6 / 50,8.3 / 50
21,8.2 / 20,6.7 / 160,7.5 / 120,5.0 / 160,6.6 / 70,5.2 / 180,6.8 / 160,3.0 / 120,7.0 / 340,6.6 / 60,8.6 / 40,8.7 / 30
22,11.3 / 20,7.9 / 40,9.7 / 180,3.2 / 270,5.6 / 10,4.9 / 180,6.1 / 90,4.2 / 160,7.1 / 40,7.0 / 40,9.0 / 50,8.7 / 20
23,10.5 / 10,7.7 / 30,7.3 / 180,5.0 / 300,3.1 / 20,4.3 / 180,8.7 / 90,3.5 / 160,7.4 / 80,10.7 / 40,10.6 / 60,8.5 / 60
24,6.9 / 20,6.0 / 20,7.3 / 180,8.0 / 70,2.8 / 140,4.8 / 150,17.9 / 70,2.8 / 160,3.8 / 300,13.9 / 40,10.2 / 70,11.0 / 70
25,6.2 / 20,7.2 / 20,6.9 / 180,5.1 / 90,4.2 / 120,6.5 / 160,19.4 / 120,3.6 / 90,3.4 / 350,10.5 / 60,7.0 / 120,5.9 / 30
26,5.7 / 30,7.2 / 20,8.9 / 50,2.0 / 280,6.1 / 160,7.0 / 160,18.6 / 160,2.1 / 320,4.1 / 360,8.0 / 120,8.7 / 20,7.6 / 40
27,5.9 / 20,7.0 / 20,6.7 / 70,3.7 / 310,5.5 / 180,7.9 / 160,14.2 / 160,7.8 / 280,4.6 / 30,5.1 / 30,5.3 / 40,7.9 / 40
28,7.2 / 60,5.1 / 40,6.2 / 240,5.3 / 160,9.4 / 40,5.0 / 160,7.8 / 140,6.2 / 280,7.3 / 40,9.4 / 20,4.2 / 20,9.1 / 30
29,6.8 / 120,5.6 / 20,5.5 / 70,7.7 / 270,7.1 / 60,6.5 / 160,6.8 / 90,2.5 / 300,8.5 / 80,9.8 / 40,4.9 / 10,7.0 / 100
30,4.6 / 160,-- / --,6.9 / 160,8.0 / 240,5.4 / 140,4.9 / 160,6.2 / 160,2.1 / 150,9.6 / 90,12.5 / 50,5.8 / 80,5.6 / 310
31,5.3 / 160,-- / --,9.1 / 180,-- / --,2.1 / 240,-- / --,4.0 / 150,2.4 / 120,-- / --,16.8 / 120,-- / --,6.2 / 20
平均,6.6,6.4,7.1,5.6,5.9,5.8,8.2,4.1,5.6,8.4,8.4,7.8
日/月,1,2,3,4,5,6,7,8,9,10,11,12
202501,6.9 / 70,7.2 / 170,7.2 / 170,8.8 / 20,6.1 / 290,5.6 / 160,7.4 / 120,2.5 / 120,4.8 / 160,5.8 / 160,7.1 / 60,6.4 / 70
2,6.9 / 40,6.7 / 40,7.0 / 190,5.6 / 30,7.9 / 130,7.3 / 260,6.1 / 90,2.6 / 190,5.7 / 160,4.2 / 160,7.4 / 60,6.8 / 40
3,8.6 / 30,9.8 / 30,3.3 / 220,6.1 / 100,7.5 / 180,7.0 / 50,6.1 / 120,4.4 / 190,3.6 / 160,8.2 / 160,10.2 / 60,9.5 / 40
4,10.3 / 70,7.0 / 20,7.5 / 50,8.3 / 130,7.1 / 80,6.1 / 60,6.7 / 120,6.0 / 260,3.2 / 120,11.4 / 160,10.2 / 60,7.6 / 60
5,6.4 / 20,5.6 / 100,8.7 / 40,6.1 / 320,6.4 / 160,5.4 / 120,8.0 / 160,3.3 / 120,6.4 / 120,5.8 / 160,8.4 / 60,8.1 / 60
