日/月,1,2,3,4,5,6,7,8,9,10,11,12
16,6.5 / 30,6.2 / 30,11.0 / 360,8.0 / 170,5.7 / 180,7.3 / 260,4.0 / 160,6.1 / 90,6.6 / 120,5.6 / 90,8.1 / 70,3.4 / 40
17,6.6 / 30,8.3 / 80,6.0 / 30,5.4 / 170,5.5 / 160,7.7 / 160,3.3 / 120,4.5 / 120,5.9 / 120,5.8 / 90,10.6 / 40,6.6 / 50
18,6.4 / 100,9.2 / 60,5.1 / 90,4.5 / 150,4.1 / 160,5.5 / 160,8.4 / 120,2.8 / 120,6.6 / 120,6.4 / 80,11.0 / 30,9.0 / 60
19,5.8 / 360,10.4 / 100,7.4 / 60,4.5 / 170,3.2 / 140,7.8 / 150,14.7 / 120,3.2 / 280,5.8 / 150,7.7 / 30,8.4 / 30,5.3 / 160
20,6.4 / 70,11.2 / 60,4.9 / 70,6.1 / 290,4.7 / 180,7.3 / 160,11.9 / 120,4.9 / 180,5.7 / 120,12.2 / 30,7.9 / 50,2.8 / 160
21,6.8 / 100,9.2 / 40,3.5 / 140,4.1 / 170,4.8 / 180,5.6 / 160,7.8 / 160,4.6 / 160,7.3 / 70,17.3 / 20,8.6 / 50,10.0 / 40
22,8.4 / 170,9.4 / 80,5.6 / 170,4.6 / 240,3.8 / 260,4.7 / 160,8.8 / 120,6.6 / 160,10.8 / 80,13.2 / 20,9.6 / 70,9.4 / 60
23,6.9 / 310,8.9 / 40,6.7 / 170,6.3 / 310,4.8 / 210,5.6 / 180,7.5 / 90,8.8 / 160,12.7 / 120,10.4 / 30,6.2 / 90,5.2 / 90
24,7.2 / 50,8.5 / 40,5.9 / 250,5.8 / 100,8.2 / 50,4.7 / 160,6.5 / 40,6.1 / 160,8.2 / 140,10.5 / 40,4.0 / 120,7.2 / 60
25,8.3 / 40,6.3 / 170,5.0 / 190,8.4 / 60,6.3 / 50,3.9 / 160,7.6 / 320,5.6 / 120,7.2 / 120,9.9 / 40,8.3 / 30,11.9 / 20
26,8.5 / 50,6.0 / 280,2.8 / 280,7.6 / 70,4.3 / 20,4.6 / 160,5.3 / 260,5.2 / 120,6.2 / 120,8.0 / 40,8.5 / 80,9.6 / 50
27,10.3 / 360,6.9 / 170,6.1 / 280,4.2 / 320,7.7 / 70,4.4 / 160,6.6 / 270,5.7 / 120,5.5 / 90,9.3 / 40,7.5 / 40,8.6 / 60
28,4.7 / 40,6.5 / 180,8.9 / 30,5.9 / 360,5.6 / 90,3.6 / 160,7.7 / 300,8.7 / 120,5.2 / 160,11.4 / 60,7.1 / 70,8.8 / 70
29,6.2 / 90,-- / --,9.0 / 40,5.0 / 60,7.2 / 40,3.9 / 120,10.2 / 260,5.8 / 120,4.7 / 160,11.0 / 70,6.0 / 120,7.0 / 70
30,8.9 / 130,-- / --,10.0 / 40,7.4 / 160,5.7 / 50,5.5 / 130,8.6 / 250,4.2 / 110,5.7 / 160,7.5 / 120,5.8 / 120,8.1 / 30
31,11.3 / 170,-- / --,9.9 / 20,-- / --,7.8 / 120,-- / --,4.1 / 160,4.0 / 120,-- / --,9.2 / 350,-- / --,11.0 / 48
平均,7.5,8,6.7,6.2,6.2,6,7.4,5.4,5.9,7.7,8.7,7.9
